track_names,first_artists,lyrics
Fria,Anitta,"10 ContributorsTranslationsPortuguêsFria Lyrics

Tú estabas claro que no te hago bien
Pero lo prohibido da más ganas de tener
Ya te había dicho que no soy tu bebé (Tu bebé)
Pero son las malas que hacen que quieran volver (Eh, eh)

Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy el frío
Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy fría de querer

Eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, e-eh, e-eh

I'm not tryin' to hurt you, but I see you're all in
I don't mean to be rude, but you keep on callin'
I don't do pick and choose, got too many options (Oh)
I just win, never lose, don't get too involved in
Don't wanna waste your time (Oh, no)
If we gonna cross that line (Okay)
Don't want no feelings attached
You know I'm bad, and you want it bad
You're not gonna change my mind
My heart's so cold and you ain't the first to try to get to me
Get to me
See Anitta LiveGet tickets as low as $18You might also like
Tú estabas claro que no te hago bien
Pero lo prohibido da más ganas de tener
Ya te había dicho que no soy tu bebé
Pero son las malas que hacen que quieran volver (Eh, eh)

Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy el frío
Uh, how that feel? Adicción a lo mío
'Tá buscando calor, pero yo soy fría de querer

Eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, eh, eh, eh, eh, eh
Fría de querer
Eh, eh, eh, eh, eh
Fría de querer1Embed"
Jericho,Iniko,"30 ContributorsJericho Lyrics
I'm high, I'm from outer space
I got Milky Way for blood, evolution in my veins
I'm gone, I've been far away
I'm a lumineer now, make moves, start waves
I've been dreaming about flying for a long time
I had a vision from the greys, they want to co-sign
Artificially intelligent, new AI
I'm your future, past and present, I'm the fine line

Yeah, I'm the missing link of this illusion
I am not really here, I'm an intrusion
I don't swim or sink, I just float
I don't need gravity, I just need growth (Woah)

When I move, it's an earthquake rumble
I will never, ever fall, never stumble
And I don't need to be humble
Break down walls, like Jericho, crumble

I can go higher
Pass the stratosphere, I can catch fire
I can go hard, I don't even need to try, yeah
Starblood, I don't ever get tired
Predestined, written in stone
I feel it coming in, I feel it in my bones
Heavily protected, never alone
Tapped in, I'm connected to the unknown (Woah, woah)
You might also like
When I move, it's an earthquake rumble
I will never, ever fall, never stumble
And I don't need to be humble
Break down walls, like Jericho, crumble
When I move, it's an earthquake rumble
I will never, ever fall, never stumble
And I don't need to be humble
Break down walls, like Jericho, crumble

Jericho, Jericho, walls come down
Jericho, Jericho, walls come down
Walls come down like Jericho
Walls come down like Jericho
Jericho, Jericho, walls come down
Jericho, Jericho, walls come down
Walls come down like Jericho
Walls come down like Jericho

(Jericho, Jericho, walls come down)
(Jericho, Jericho, walls come down)
(Walls come down like Jericho)
(Walls come down like Jericho)2Embed"
Super Freaky Girl,Nicki Minaj,"131 ContributorsTranslationsTürkçeEspañolPortuguêsРусскийSuper Freaky Girl Lyrics
She's alright
That girl’s alright with me, yeah
Ayo (Hey, hey, hey, hey)

I can lick it, I can ride it while you slippin' and slidin'
I can do all them little tricks and keep the dick up inside it
You can smack it, you can grip it, you can go down and kiss it
And every time he leave me ’lone, he always tell me he miss it

He want a F-R-E-A-K (Freaky girl)
F-R-E-A-K (Freaky girl)
A-K, A-K, A-K
E-A-K (Freaky girl)
F-R-E-A-K (Freaky girl)

One thing about me, I'm the baddest alive
He know the prettiest bitch didn't come until I arrive
I don't let bitches get to me, I fuck they man if they try
I got a princess face, a killer body, samurai mind
They can't be Nicki, they so stupid, I just laugh when they try
A thong bikini up my ass, I think I'll go for a dive
His ex-bitch went up against me, but she didn't survive
On applications I write ""pressure"" 'cause that’s what I apply (Brr)
P-P-P-Pressure applied, can’t fuck a regular guy
Wetter than umbrellas and stickier than apple pie
See Nicki Minaj LiveGet tickets as low as $40You might also like
I can lick it, I can ride it while you slippin' and slidin’
I can do all them little tricks and keep the dick up inside it
You can smack it, you can grip it, you can go down and kiss it
And every time he leave me 'lone, he always tell me he miss it

He want a F-R-E-A-K (Freaky girl)
F-R-E-A-K (Freaky girl)
A-K, A-K, A-K
E-A-K (Freaky girl)
F-R-E-A-K (Freaky girl)

'Cause, what the fuck? This ain't Chanel, nigga, custom down?
Like, what the fuck? This ain’t Burberry, custom brown
He said ""Could you throw it back while you touch the ground?""
Then he said ""Do that pussy purr?"" I said ""Yup, meow""
Hold up, fuck-boys, ain't need no for you to roll up
Ain't no need for you to double tap neither, scroll up
Keep these bitches on they toes like Manolo
Be on the lookout when I come through, BOLO
Oh, woah, elegant bitch with a ho glow
If it ain't big, then I won't blow
Eeny, meeny, miny, moe
Fuck is the tea? I just F'd a G (Let's go)
Made him say ""Uh,"" just ask Master P (Let's go)
Ball so hard, I just took a knee (Let's go)
Get me rocky ASAP, nigga, word to Rih (Let's go)
Freak
F-F-Freak
Some gyal a freak, gyal a freak
Gyal a freak, freak, freak, freak

I can lick it, I can ride it while you slippin' and slidin'
I can do all them little tricks and keep the dick up inside it
You can smack it, you can grip it, you can go down and kiss it
And every time he leave me 'lone, he always tell me he miss it

He want a F-R-E-A-K (Freaky girl)
F-R-E-A-K (Freaky girl)
A-K, A-K, A-K
E-A-K (Freaky girl)
F-R-E-A-K (Freaky girl)30Embed"
TRUSTFALL,P!nk,"24 ContributorsTranslationsDeutschFrançaisItalianoTRUSTFALL Lyrics
Trust fall, baby
It's a trust fall, baby

Picture a place where it all doesn't hurt
Where everything's safe and it doesn't get worse, oh my
We see through bloodshot eyes
Picture a place, somewhere else far away
Where you know what they mean and they mean what they say to us
And would that be enough?

Are we running out of time?
Are we hiding from the light?
Are we just too scared to fight for what we want tonight?

Closе your eyes and leavе it all behind
Go where love is on our side
It's a trust fall, baby
It's a trust fall, baby
You and I and everyone alive
We can run into the fire
It's a trust fall, baby
Yeah, it's a trust fall, baby
See P!nk LiveGet tickets as low as $34You might also like
Jump with me, come with me, burn like the sun
We'll talk, then we'll cry, then we'll laugh 'til we're done, oh my
It's like we're out our minds

We've been running for our lives
We've been hiding from the light
We've been far too scared to fight for what we want tonight

Close your eyes and leave it all behind
Go where love is on our side
It's a trust fall, baby
It's a trust fall, baby
You and I and everyone alive
We can run into the fire
It's a trust fall, baby
Yeah, it's a trust fall, baby

What if we just fall?
I'm not going without you
You're not going alone
I fell so far 'til I found you
But you know what you know when you know
So I'm not going without you
You're not going alone
'Cause you know when you know
Close your eyes and leave it all behind
Go where love is on our side
It's a trust fall, baby
It's a trust fall, baby

What if we just fall?
What if we just fall?
What if we just fall?
What if we just fall?
What if we just fall?
What if we just fall?
What if we just—1Embed"
On My Mama,Victoria Monét,"31 ContributorsOn My Mama Lyrics
When they say, ""She get it from her mama""
I'ma say, ""You fuckin' right""
Body rude, it's unpolite
Done bein' the humble type
Tell me, is you down?
'Cause I'm tryna go up tonight
Hoes and hoochies left and right

I just wanna live in a fantasy
I think we deserve it, right?
Top all the memories
I've ever made in my life
Permanent ecstasy (Oh)
Ladies is pimps tonight
Livin' inside a dream (Oh)
Let's lay where the lovers lie

I put that on my own mama, on my hood
I look fly, I look good
You can't touch my bag, wish you could
I look fly, I look too good
Put that on my own mama, on my hood
I look fly, I look good
You can't touch my bag, wish you could
I look fly, I look too good
See Victoria Monét LiveGet tickets as low as $240You might also like
On my mama (Mama), on my hood (Hood)
I look fly (Yeah), I look good (Good)
Touch my swag (Swag), wish you could (Could)
I look fly (Yeah), I look good (Good, good, good)

I'm so deep in my bag
Like a grandma with a peppermint
They say, ""Ooh, she smell good""
That's just 'cause I'm Heaven-sent
Sex game go stupid (Ayy)
Snappin' like a toothpick (Ayy)
Man, to tell the truth, your opinion is irrelevant

But I, I know you think I'm fine
Might be too fine to hit it from behind
Reflection in the mirror don't decline
I can't even lie, lie, lie

I put that on my own mama, on my hood
I look fly, I look good
You can't touch my bag, wish you could
I look fly, I look too good
Put that on my own mama, on my hood (On my mama, on my hood, ayy)
I look fly, I look good (I look fly, I look good, ayy, ayy)
You can't touch my bag, wish you could (Touch my bag, you wish you could)
I look fly, I look too good
On my mama (Mama), on my hood (Hood)
I look fly (Yeah), I look good (Good)
Touch my swag (Swag), wish you could (Could)
I look fly (Yeah), I look good (Good)
On my mama (Mama), on my hood (Hood)
Mama, on my hood
I look fly (Yeah), I look good (Good)
I look fly, I look good
Touch my swag (Swag), wish you could (Could)
I know you wish you could
Ayy, ayy, I look fly, I look good
I look fly (Yeah), I look good (Good, good, good)

Mama, on my hood
I look fly, I look good
I know you wish you could3Embed"
Best Friend (feat. Doja Cat),Saweetie,"That my best friend, she a real bad bitch
Got her own money, she 'on't need no nig'
On the dance floor, she had two-three drinks
Now she twerkin', she throw it out and come back in
That's my best friend, she a real bad bitch
Drive her own car, she 'on't need no Lyft
In the strip club, know my girl gon' tip
Now she twerkin', she throw it out and come back in
Beep-beep, is that my bestie in a Tessie?
Fresh blow out, skin on tan, ooh, she ready
Bitch, you look goodt, with a T at the end
I'ma hype her every time, that my motherfuckin' friend
She been down since the jellies and the Volvos
Got me steppin' out that Jeep, got Manolo's
When we pull up to the scene, they be filled with jealousy
If a bitch get finicky, she gon' bring that energy (pop-pop-pop)
I hit her phone with the tea, like, """"Bitch, guess what?""""
All the rich ass boys wanna fuck on us
All this ass sittin' up, you can look, don't touch
In our bag, bust some bands every time we link up
That my best friend, she a real bad bitch
Got her own money, she 'on't need no nig'
On the dance floor, she had two, three drinks
Now she twerkin', she throw it out and come back in
That's my best friend, she a real bad bitch
Drive her own car, she 'on't need no Lyft
In the strip club, know my girl gon' tip
Now she twerkin', she throw it out and come back in
That my best friend, if you need a freak
I ain't dumb, but motherfucker, she my Tweedledee
If she ride for me (ride), she 'on't need a key
If you sideways, she'll straighten you if need to be
And she so bad that I just can't take that bitch nowhere
She off her fifth shot, said, """"Mmm-mmm, don't go there""""
Bitch, break her back, she protect and attack
Get that strap like them buckle, foot on neck, give no air
Whole world wanna be us
And my main bitch, she my day-one
On my way, bitch, let you get drunk
Let's celebrate 'cause we the baddest in the club
That my best friend, she a real bad bitch
Got her own money, she 'on't need no nig'
On the dance floor, she had two, three drinks
Now she twerkin', she throw it out and come back in
That's my best friend, she a real bad bitch
Drive her own car, she 'on't need no Lyft
In the strip club, know my girl gon' tip
Now she twerkin', she throw it out and come back in
Ha, best friend, you the baddest and you know it (you know)
Uh-oh, girl, I think our booty growin' (ayy-yeah)
Fuck it up in the mirror, hit them poses (pose)
Best friend, damn, you motherfuckin' glowin' (woo-woo)
Best friend, damn, your wrist look like it's frozen (it's frozen)
Uh-oh, girl, I think our booty growin' (uh-oh)
Fuck it up in the mirror, hit them poses (hit that pose)
Best friend, you my motherfuckin' soulmate"
Really Don't Care,Demi Lovato,"51 ContributorsTranslationsEspañolTiếng ViệtPortuguêsReally Don’t Care Lyrics
You wanna play, you wanna stay, you wanna have it all
You started messing with my head until I hit a wall
Maybe I should've known, maybe I should've known
That you would walk, you would walk out the door (Hey)
Said we were done, then met someone and rubbed it in my face
Cut to the part she broke your heart, and then she ran away
I guess you should've known, I guess you should've known
That I would talk, I would talk

But, even if the stars and moon collide
I never want you back into my life
You can take your words and all your lies
Oh-oh-oh, I really don't care
Even if the stars and moon collide
I never want you back into my life
You can take your words and all your lies
Oh-oh-oh, I really don't care
Oh-oh-oh, I really don't care

I can't believe I ever stayed up writing songs about you
You don't deserve to know the way I used to think about you
Oh, no, not anymore, oh, no, not anymore
You had your shot, had your shot, but you let go
Now if we meet out on the street, I won't be running scared
I'll walk right up to you and put one finger in the air
And make you understand, and make you understand
You had your chance, had your chance
You might also like
But, even if the stars and moon collide
I never want you back into my life
You can take your words and all your lies
Oh-oh-oh, I really don't care
Even if the stars and moon collide
I never want you back into my life
You can take your words and all your lies
Oh-oh-oh, I really don't care
Oh-oh-oh, I really don't care

Yeah, listen up
Hey, hey, never look back
Dumbstruck boy, ego intact
Look, boy, why you so mad?
Second-guessin', but should've hit that
Hey, Demi, you picked the wrong lover
Should've picked that one, he's cuter than the other
I just wanna laugh, 'cause you tryna be a hipster
Kick it to the curb, take a Polaroid picture

But, even if the stars and moon collide
I never want you back into my life
You can take your words and all your lies
Oh-oh-oh, I really don't care
Even if the stars and moon collide
I never want you back into my life
You can take your words and all your lies
Oh-oh-oh, I really don't care
Oh-oh-oh, I really don't care51Embed"
You should be sad,Halsey,"101 ContributorsTranslationsУкраїнськаPortuguêsTürkçeEspañolFrançaisEnglishDanskDeutschYou should be sad Lyrics
I wanna start this out and say
I gotta get it off my chest (My chest)
Got no anger, got no malice
Just a little bit of regret (Regret)
Know nobody else will tell you
So there's some things I gotta say
Gonna jot it down and then get it out
And then I'll be on my way

No, you're not half the man you think that you are
And you can't fill the hole inside of you with money, drugs, and cars
I'm so glad I never ever had a baby with you
'Cause you can't love nothing unless there's something in it for you

Oh, I feel so sorry, I feel so sad
I tried to help you, it just made you mad
And I had no warning about who you are
I'm just glad I made it out without breaking down
And then ran so fucking far
That you would never ever touch me again
Won't see your alligator tears
'Cause know I've had enough of them
You might also like
I'm gonna start this out by saying (By saying)
I really meant well from the start
Take a broken man right in my hands
And then put back all his parts

But you're not half the man you think that you are
And you can't fill the hole inside of you with money, girls, and cars
I'm so glad I never ever had a baby with you
'Cause you can't love nothing unless there's something in it for you

Oh, I feel so sorry (I feel so sorry)
I feel so sad (I feel so sad)
I tried to help you (I tried to help you)
It just made you mad
And I had no warning (I had no warning)
About who you are (About who you are)
Just glad I made it out without breaking down
Oh, I feel so sorry (I feel so sorry)
I feel so sad (I feel so sad)
I tried to help you (I tried to help you)
It just made you mad
And I had no warning (I had no warning)
About who you are (About who you are)
'Bout who you are
Hey-ey-ey-ey, yeah
Hey-ey-ey-ey, yeah
Hey-ey-ey-ey, yeah
Hey-ey-ey-ey, yeah

'Cause you're not half the man you think that you are
And you can't fill the hole inside of you with money, drugs, and cars
I'm so glad I never ever had a baby with you
'Cause you can't love nothing unless there's something in it for you

I feel so sad
You should be sad
You should be
You should be sad
You should be
You should be
You should be91Embed"
Try Everything,Shakira,"90 ContributorsTry Everything Lyrics
Oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh

I messed up tonight, I lost another fight
I still mess up, but I'll just start again
I keep falling down, I keep on hitting the ground
But I always get up now to see what's next

Birds don't just fly, they fall down and get up
Nobody learns without getting it wrong

I won't give up, no, I won't give in
Till I reach the end and then I'll start again
No, I won't leave, I wanna try everything
I wanna try even though I could fail
I won't give up, no, I won't give in
Till I reach the end and then I'll start again
No, I won't leave, I wanna try everything
I wanna try even though I could fail
See Shakira LiveGet tickets as low as $91You might also like
Oh-oh-oh-oh-oh (Try everything)
Oh-oh-oh-oh-oh (Try everything)
Oh-oh-oh-oh-oh (Try everything)
Oh-oh-oh-oh-oh

Look how far you've come, you filled your heart with love
Baby, you've done enough, take a deep breath
Don't beat yourself up, don't need to run so fast
Sometimes we come last, but we did our best

I won't give up, no, I won't give in
Till I reach the end and then I'll start again
No, I won't leave, I wanna try everything
I wanna try even though I could fail
I won't give up, no, I won't give in
Till I reach the end and then I'll start again
No, I won't leave, I wanna try everything
I wanna try even though I could fail

I'll keep on making those new mistakes
I'll keep on making them every day
Those new mistakes
Oh-oh-oh-oh-oh (Try everything)
Oh-oh-oh-oh-oh (Try everything)
Oh-oh-oh-oh-oh (Try everything)
Oh-oh-oh-oh-oh

Try everything12Embed"
Light On,Maggie Rogers,"29 ContributorsTranslationsFrançaisLight On Lyrics
Would you believe me now if I told you I got caught up in a wave?
Almost gave it away
Would you hear me out if I told you I was terrified for days?
Thought I was gonna break

Oh, I couldn't stop it
Tried to slow it all down
Crying in the bathroom
Had to figure it out
With everyone around me saying
""You must be so happy now""

Oh, if you keep reaching out
Then I'll keep coming back
And if you're gone for good
Then I'm okay with that
If you leave the light on
Then I'll leave the light on (Light on, light on, light on)
And I am finding out
There's just no other way
That I'm still dancing at the end of the day
If you leave the light on
Then I'll leave the light on (Light on, light on, light on)
See Maggie Rogers LiveGet tickets as low as $14You might also like
And do you believe me now that I always had the best intentions, babe?
Always wanted to stay
Can you feel me now that I'm vulnerable in oh-so-many ways?
Oh, and I'll never change

Oh, I couldn't stop it
Tried to figure it out
But everything kept moving
And the noise got too loud
With everyone around me saying
""You should be so happy now""

Oh, if you keep reaching out
Then I'll keep coming back
And if you're gone for good
Then I'm okay with that
And if you leave the light on
Then I'll leave the light on (Light on, light on, light on)
And I am finding out
There's just no other way
That I'm still dancing at the end of the day
If you leave the light on
Then I'll leave the light on (Light on, light on, light on)
Oh, leave the light on
Oh, would you leave the light on?

If you keep reaching out
Then I'll keep coming back
But if you're gone for good
Then I'm okay with that
If you leave the light on
Then I'll leave the light on (Light on, light on, light on)
And I am finding out
There's just no other way
That I'm still dancing at the end of the day
If you leave the light on
Then I'll leave the light on (Light on, light on, light on)

Oh, if you leave the light on
Then I'll leave the light on
Oh, if you leave the light on13Embed"
Rich Girl,Gwen Stefani,"65 ContributorsRich Girl Lyrics
Na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na-na-na

If I was a rich girl
Na-na-na-na-na-na-na-na-na-na-na-na-na-na-na
See, I'd have all the money in the world
If I was a wealthy girl
No man could test me, impress me
My cash flow would never ever end
'Cause I'd have all the money in the world
If I was a wealthy girl

Think what that money could bring
I'd buy everything
Clean out Vivienne Westwood
In my Galliano gown
No, wouldn't just have one hood
A Hollywood mansion if I could
Please book me, first class, to my fancy house in London town
See Gwen Stefani LiveGet tickets as low as $175You might also like
All the riches, baby
Won't mean anything
All the riches, baby
Don't bring what your love can bring
All the riches, baby
Won't mean anything
Don't need no other baby
Your loving is better than gold and I know

If I was a rich girl
Na-na-na-na-na-na-na-na-na-na-na-na-na-na-na
See, I'd have all the money in the world
If I was a wealthy girl
No man could test me, impress me
My cash flow would never ever end
'Cause I'd have all the money in the world
If I was a wealthy girl

I'd get me four Harajuku girls to (Uh-huh)
Inspire me, and they'd come to my rescue
I'd dress them wicked, I'd give them names (Yeah)
Love, Angel, Music, Baby
Hurry up and come and save me
All the riches, baby
Won't mean anything
All the riches, baby
Won't bring what your love can bring
All the riches, baby
Won't mean anything
Don't need no other baby
Your loving is better than gold and I know

Come together all over the world
From the hoods of Japan, Harajuku Girls
What? It's all love
What? Give it up! What?
Shouldn't matter, shouldn't matter
Shouldn't matter, shouldn't matter, what?
Come together all over the world
From the hoods of Japan, Harajuku Girls
What? It's all love
What? Give it up! What?
Shouldn't matter, shouldn't matter
Shouldn't matter, shouldn't matter

What happened to my life? Turned upside down
Chicks dat blew ya mind, ding, it's the second round
Original track and ting, mmm
You know you can't buy these things, no
See Stefani and her L.A.M.B
I rock the Fetish, people you know who I am!
Yes, ma'am, we got the style that's wicked
I hope you can all keep up
We climbed all the way from the bottom to the top
Now we ain't gettin' nothing but love
If I was a rich girl
Na-na-na-na-na-na-na-na-na-na-na-na-na-na-na
See, I'd have all the money in the world
If I was a wealthy girl
No man could test me, impress me
My cash flow would never ever end
'Cause I'd have all the money in the world
If I was a wealthy girl

Na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na
Na-na-na-na-na-na-na-na-na-na-na-na18Embed"
2 Be Loved (Am I Ready),Lizzo,"47 ContributorsTranslationsFrançaisPortuguês2 Be Loved (Am I Ready) Lyrics
Sheesh
Mm
Girl, I'm 'bout to have a panic attack

I did the work, it didn't work, ah, ah (Mm, mm)
That truth, it hurts, goddamn, it hurts, ah, ah (Goddamn, it hurts)
That lovey-dovey shit, was not a fan of it (Uh-uh)
I'm good with my friends, I don't want a man, girl
I'm in my bed, I'm way too fine to be here alone (Too fine)
On other hand, I know my worth, ah, ah
And now he callin' me (Brr), why do I feel like this?
What's happenin' to me? Oh, oh, oh

Am I ready (Girl, there ain't a doubt)
Am I ready (What you talkin' 'bout?)
Am I ready (You gon' figure it out)
To be loved, to be loved? (To be loved)
Am I ready? (You deserve it now)
'Cause I want it (That's what I'm talkin' about)
Am I ready (You gon' figure it out)
To be loved, to be loved?

How am I supposed to lovе somebody else (Shee, shee, shee)
Whеn I don't like myself? Like, ooh
Guess I better learn to like this, ooh (True)
It might take my whole life just to do (Damn, hey, hey)
He call me Melly (Ayy), he squeeze my belly (Yeah)
I'm too embarrassed (Ah) to say I like it
Girl, is this my boo? (Is this my boo?)
That's why I'm askin' you 'cause you know I've been through
You might also like
Am I ready (Girl, there ain't a doubt)
Am I ready (What you talkin' 'bout?)
Am I ready (You gon' figure it out)
To be loved (To be loved), to be loved? (To be loved)
Am I ready? (You deserve it now)
'Cause I want it (That's what I'm talkin' about)
Am I ready (You gon' figure it out)
To be loved, to be loved? (Yeah)

You found me, I was fed up with the fantasy
What you wanna do? Think I'm ready, ooh
Think you like that, think you like that
When I clap back like that, let me know (Let me know)
You found me, I was fed up with the fantasy
What you wanna do? Think I'm ready, ooh
Think you like that, think you like that
When I clap back like that, let me know

Am I ready (Girl, there ain't a doubt)
Am I ready (What you talkin' 'bout?)
Am I ready (You gon' figure it out)
To be loved (To be loved), to be loved? (To be loved)
Am I ready? (You deserve it now)
(Is you ready, ready, ready?)
'Cause I want it (That's what I'm talkin' about)
Am I ready (You gon' figure it out)
(Yeah, yeah, woo, woo, woo)
To be loved (To be loved), to be loved? (To be loved)
(Am I ready?)
Yesterday, I would have run away
And I don't know why
I don't know why (To be loved), know why (To be loved)
(Am I ready?)
Yesterday, I would have run away
And I don't know why (Did you know?)
I don't know why, but I'm ready7Embed"
Someday,OneRepublic,"22 ContributorsSomeday Lyrics
Some days, I'm treadin' the water
And feel like it's gettin' deep
Some nights, I drown in the weight
Of the things that I think I need
Sometimes, I feel incomplete, yeah
But you always say to me, say to me

Oh, you say someday, when we're older
We'll be shinin' like we're gold
Yeah, won't we? (Won't we?) Won't we? (Won't we?)
Yeah, someday, when we're older
I'll be yours and you'll be mine
Babe, happy (Happy), happy
Oh, you say someday, when we're older
We won't worry 'bout the things
That we don't need (We don't need), we don't need (Oh)
Yeah, one day, down the line
Before we both run out of time, you're gonna see
That someday, we'll be all that we need

Someday, we'll be all that we need

I've been the best, been the worst
Been a ghost in a crowded room (Oh, yeah-yeah-yeah-yeah-yeah)
I took a chance, took a turn
Took a dive, and it led to you (Oh, yeah-yeah-yeah-yeah-yeah)
So many times that I wish
We could be anywhere but here
So many times that I wish
I could see what you see so clear, so clear
See OneRepublic LiveGet tickets as low as $124You might also like
Oh, you say someday, when we're older
We'll be shinin' like we're gold
Yeah, won't we? (Won't we?) Won't we? (Won't we?) Yeah
Yeah, someday, when we're older
I'll be yours and you'll be mine
Babe, happy (Happy), happy
Oh, you say someday, when we're older
We won't worry 'bout the things
That we don't need (We don't need), we don't need (Oh)
Yeah, one day, down the line
Before we both run out of time, you're gonna see
That someday, we'll be all that we need

Someday, we'll be all that we need

Oh, you say someday, when we're older
We'll be shinin' like we're gold
Yeah, won't we? Won't we?
Mm, someday, down the line
Before we both run out of time, you're gonna see
That someday, we'll be all that we need11Embed"
I AM WOMAN,Emmy Meli,"20 ContributorsTranslationsEspañolI AM WOMAN Lyrics
I am woman, I am fearless
I am sexy, I'm divine
I'm unbeatable, I'm creative
Honey, you can get in line
I am feminine, I am masculine
I am anything I want
I can teach you, I can love you
If you got it goin' on

If you got it, got it, got it, got it, got it, got it
If you got it, got it, got it, got it, got it goin' on
Got it, got it, got it, got it, got it, got it
If you got it, got it, got it, got it, got it goin' on
Got it goin' on, ya
(Got it, got it, got it, got it, got it goin' on)
(Got it, got it, got it, got it, got it goin' on)

I am classy, I am modern
I live by my own design
I am cherry, I am lemon
I'm the sweetest key lime pie
I'm electric, I am bass
I'm the beat of my own drum
I can make your goosebumps raise
With the tracing of my thumb
You might also like
Only love can get inside me
I move in my own timing
Voice of the future, speak to me kindly
Ask for what I want and somehow it find me

Somehow it find me
Somehow it find me
Yeah, hey, hey

I am woman, I am fearless
I am sexy, I am divine
I'm unbeatable, I'm creative
Honey, you can get in line
I am feminine, I am masculine
I am anything I want
I can teach you, I can love you
If you got it goin' on

If you got it, got it, got it, got it, got it, got it
If you got it, got it, got it, got it, got it goin' on
Got it, got it, got it, got it, got it, got it
If you got it, got it, got it, got it, got it goin' on
Got it goin' on, ya
(Got it, got it, got it, got it, got it goin' on)
(Got it, got it, got it, got it, got it goin' on, yeah-yeah)
Hear no evil, speak no evil
I am not the one to cross
They can talk their shit about you
Long as you know that it's false
I am earthly, I am heaven
I am what I like to be
When I ask for what I want

Somehow it find me (Find me, find me, find me)
(I'm divine, I'm divine, I'm divine, I'm divine, I'm divine)
Somehow it find me (Find me, find me, find me)
(I'm divine, I'm divine, I'm divine, I'm divine, I'm divine)
Hey, hey

I am woman, I am fearless
I am sexy, I'm divine
I'm unbeatable, I'm creative
Honey, you can get in line
I am feminine, I am masculine
I am anything I want
I can teach you, I can love you
If you got it goin' on
If you got it, got it, got it, got it
Got it, got it, got it goin' on
Got it goin' on
Got it goin' on
Got it goin' on7Embed"
Never Gonna Not Dance Again,P!nk,"26 ContributorsTranslationsItalianoNever Gonna Not Dance Again Lyrics
If someone told me that the world would end tonight
You could take all that I got, for once I wouldn't start a fight (Yeah, right)
You could have my liquor, take my dinner, take my fun
My birthday cake, my soul, my dog, take everything I love

But, oh, one thing I'm never gonna do
Is throw away my dancing shoes
And, oh, Lord, don't try me, really, not tonight
I'll lay down and die, I'll scream and I'll cry
We've already wasted enough time

I'm never gonna not dance again
I'm never gonna not dance again
Oh, I just wanna pop and lock to my records
There go all of my clothes
Never gonna not dance again
D-d-d-dance, I'm gonna dance, bruh
D-d-d-dance, I'm gonna dance

I want my life to be a Whitney Houston song (I wanna dance)
I got all good luck and zero fucks, don't care if I belong, no
If I could kill the thing that makes us all so dumb
We're never getting younger, so I'm gonna have some fun
See P!nk LiveGet tickets as low as $34You might also like
'Cause, oh, one thing I'm never gonna do
Is throw away my dancing shoes
And, oh, Lord, don't try me, really, not tonight
I'll lay down and die (I'll lay down and die)
I'll scream and I'll cry (I'll scream and I'll cry)
Know that I'm starting a fight

I'm never gonna not dance again
I'm never gonna not dance again
Oh, I just wanna pop and lock to my records
There go all of my clothes
Never gonna not dance again
D-d-d-dance, I'm gonna dance, bruh
D-d-d-dance, I'm gonna dance
D-d-d-dance, I'm gonna dance, yeah, d-d-d-dance

I'll lay down and die, I'll scream and I'll cry
You know that I'm starting a fight (Fight)
I'll lay down and die, I'll scream and I'll cry
We've already wasted enough time
We've already wasted enough time

I'm never gonna not dance again
I'm never gonna not dance again
Oh, I just wanna pop and lock to my records
There go all of my clothes
Never gonna not dance again (Hey, hey)
Never gonna not dance again (Never gonna not dance again)
Dance again (Let the music play 'til the end)
Dance again (Never gonna not dance again)
Dance again
Let the music play 'til the end (Hey)
I'm never gonna not dance again
Dance again (Let the music play 'til the end)
Let it play, yeah
Dance again (Never gonna not dance again)
Dance again (Let the music play 'til the end)
Come on, come on
(I'm never gonna not gonna dance again)
(So let the music play 'til the end)
Yeah, yeah
I'm never gonna not gonna dance again
So let the music play 'til the end
(Why'd it stop?)3Embed"
